City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,gamba,-2.65,10.0,28.74000000000001,64,78,1.71,GA,1675161518
154,ginir,7.1333,40.7,25.650000000000034,27,18,4.78,ET,1675161518
155,thaba nchu,-29.2093,26.839,28.74000000000001,31,5,6.61,ZA,1675161519
156,solnechnyy,50.7214,136.6319,-26.18999999999997,98,54,1.63,RU,1675161519
157,puerto maldonado,-12.6,-69.1833,21.450000000000045,97,100,0.99,PE,1675161519
158,yar-sale,66.8333,70.8333,-21.43999999999997,100,33,3.85,RU,1675161520
159,klaksvik,62.2266,-6.589,5.510000000000048,88,87,13.13,FO,1675161520
160,qaanaaq,77.484,-69.3632,-20.289999999999964,42,21,3.71,GL,1675161521
161,chicama,-7.8447,-79.1469,18.30000000000001,74,100,0.5,PE,1675161521
162,rumoi,43.9344,141.6428,-4.810000000000002,72,100,5.32,JP,1675161378
163,saint-pierre,-21.3393,55.4781,30.82000000000005,62,0,7.2,RE,1675161522
164,bolshoye selo,57.7177,38.9334,-0.9199999999999591,89,100,5.84,RU,1675161522
165,progreso,21.2833,-89.6667,21.170000000000016,93,9,3.44,MX,1675161524
166,vardo,70.3705,31.1107,-0.009999999999990905,93,100,3.09,NO,1675161524
167,san patricio,28.017,-97.5169,3.910000000000025,86,100,5.59,US,1675161525
168,tazmalt,36.3868,4.3989,10.520000000000039,61,4,1.33,DZ,1675161525
169,burhanpur,21.3,76.2333,29.730000000000018,29,0,4.24,IN,1675161526
170,lagoa,39.05,-27.9833,14.110000000000014,67,85,6.74,PT,1675161526
171,ostrovnoy,68.0531,39.5131,-3.169999999999959,95,100,4.67,RU,1675161527
172,parambu,-6.2111,-40.6944,25.30000000000001,68,37,2.66,BR,1675161527
173,tessalit,20.1986,1.0114,21.420000000000016,8,52,4.47,ML,1675161528
174,pevek,69.7008,170.3133,-13.919999999999959,94,62,2.23,RU,1675161528
175,kostomuksha,64.571,30.5767,-4.4599999999999795,93,100,4.63,RU,1675161528
176,lac du bonnet,50.2536,-96.0612,-28.399999999999977,100,72,1.95,CA,1675161529
177,hasaki,35.7333,140.8333,3.4500000000000455,46,97,2.43,JP,1675161278
178,oranjemund,-28.55,16.4333,22.160000000000025,60,0,4.92,NA,1675161529
179,shache,38.4167,77.2406,-0.5600000000000023,56,70,2.81,CN,1675161530
180,tiksi,71.6872,128.8694,-23.599999999999966,98,100,5.31,RU,1675161530
181,isangel,-19.55,169.2667,26.379999999999995,82,100,0.96,VU,1675161531
182,springdale,36.1867,-94.1288,-6.069999999999993,90,100,5.14,US,1675161531
183,honiara,-9.4333,159.95,25.970000000000027,78,99,1.19,SB,1675161531
184,indiaroba,-11.5192,-37.5117,27.150000000000034,73,20,2.16,BR,1675161532
185,cap malheureux,-19.9842,57.6142,26.930000000000007,83,99,0.89,MU,1675161532
186,gouyave,12.1646,-61.7296,22.430000000000007,83,20,1.03,GD,1675161533
187,kieta,-6.2167,155.6333,26.58000000000004,84,67,1.79,PG,1675161533
188,castro,-24.7911,-50.0119,18.910000000000025,95,99,3.28,BR,1675161534
